moneda,casa,nombre,compra,venta,fechaActualizacion
USD,blue,Blue,960,990,2023-10-29T11:50:00.000Z
USD,blue,Blue,960,990,2023-10-29T11:55:00.000Z
USD,blue,Blue,960,990,2023-10-29T14:59:00.000Z
